LSOA,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived),Percentile,Decile,IMD_Decile2010
E01013212,71.92,168,0.517209531,0.051720953,1
E01006756,71.91,169,0.52028816,0.052028816,1
E01012116,71.9,170,0.523366788,0.052336679,1
E01008291,71.83,171,0.526445416,0.052644542,1
E01007128,71.79,172,0.529524044,0.052952404,1
E01005729,71.78,173,0.532602672,0.053260267,1
E01006633,71.77,174,0.5356813,0.05356813,1
E01009542,71.75,175,0.538759929,0.053875993,1
E01008304,71.74,176,0.541838557,0.054183856,1
E01028263,71.72,177,0.544917185,0.054491718,1
E01005610,71.7,178,0.547995813,0.054799581,1
E01010610,71.67,179,0.551074441,0.055107444,1
E01006598,71.66,180,0.554153069,0.055415307,1
E01006790,71.56,181,0.557231698,0.05572317,1
E01012019,71.55,182,0.560310326,0.056031033,1
E01004787,71.5,183,0.563388954,0.056338895,1
E01006817,71.47,184,0.566467582,0.056646758,1
E01028066,71.44,185,0.56954621,0.056954621,1
E01028065,71.41,186,0.572624838,0.057262484,1
E01010485,71.32,187,0.575703467,0.057570347,1
E01009607,71.27,188,0.578782095,0.057878209,1
E01032332,71.17,189,0.581860723,0.058186072,1
E01007005,71.13,190,0.584939351,0.058493935,1
E01007274,71.12,191,0.588017979,0.058801798,1
E01005432,71.08,192,0.591096607,0.059109661,1
E01008214,71.05,193,0.594175236,0.059417524,1
E01009539,71.02,194,0.597253864,0.059725386,1
E01010732,71.01,195,0.600332492,0.060033249,1
E01009490,71.01,196,0.60341112,0.060341112,1
E01009379,71,197,0.606489748,0.060648975,1
E01025287,70.97,198,0.609568376,0.060956838,1
E01012876,70.92,199,0.612647004,0.0612647,1
E01013208,70.9,200,0.615725633,0.061572563,1
E01026625,70.88,201,0.618804261,0.061880426,1
E01006673,70.88,202,0.621882889,0.062188289,1
E01013632,70.87,203,0.624961517,0.062496152,1
E01005433,70.83,204,0.628040145,0.062804015,1
E01005683,70.83,205,0.631118773,0.063111877,1
E01012359,70.83,206,0.634197402,0.06341974,1
E01005552,70.8,207,0.63727603,0.063727603,1
E01012631,70.79,208,0.640354658,0.064035466,1
E01008425,70.72,209,0.643433286,0.064343329,1
E01005138,70.71,210,0.646511914,0.064651191,1
E01006518,70.68,211,0.649590542,0.064959054,1
E01024900,70.68,212,0.652669171,0.065266917,1
E01005130,70.65,213,0.655747799,0.06557478,1
E01012252,70.6,214,0.658826427,0.065882643,1
E01019143,70.58,215,0.661905055,0.066190506,1
E01030258,70.58,216,0.664983683,0.066498368,1
E01009117,70.58,217,0.668062311,0.066806231,1
E01005259,70.56,218,0.67114094,0.067114094,1
E01006542,70.55,219,0.674219568,0.067421957,1
E01011750,70.52,220,0.677298196,0.06772982,1
E01008702,70.51,221,0.680376824,0.068037682,1
E01012090,70.49,222,0.683455452,0.068345545,1
E01012091,70.48,223,0.68653408,0.068653408,1
E01009476,70.42,224,0.689612709,0.068961271,1
E01012893,70.41,225,0.692691337,0.069269134,1
E01022025,70.41,226,0.695769965,0.069576996,1
E01006453,70.37,227,0.698848593,0.069884859,1
E01014832,70.36,228,0.701927221,0.070192722,1
E01025283,70.35,229,0.705005849,0.070500585,1
E01007737,70.31,230,0.708084478,0.070808448,1
E01007204,70.23,231,0.711163106,0.071116311,1
E01010054,70.2,232,0.714241734,0.071424173,1
E01012670,70.13,233,0.717320362,0.071732036,1
E01010820,70.11,234,0.72039899,0.072039899,1
E01019164,70.11,235,0.723477618,0.072347762,1
E01008227,70.11,236,0.726556247,0.072655625,1
E01014224,70.1,237,0.729634875,0.072963487,1
E01010822,70.1,238,0.732713503,0.07327135,1
E01005586,70.09,239,0.735792131,0.073579213,1
E01006470,70.05,240,0.738870759,0.073887076,1
E01017040,70,241,0.741949387,0.074194939,1
E01019141,69.98,242,0.745028016,0.074502802,1
E01010800,69.96,243,0.748106644,0.074810664,1
E01005141,69.85,244,0.751185272,0.075118527,1
E01007124,69.78,245,0.7542639,0.07542639,1
E01013948,69.75,246,0.757342528,0.075734253,1
E01012601,69.71,247,0.760421156,0.076042116,1
E01021015,69.7,248,0.763499784,0.076349978,1
E01012195,69.68,249,0.766578413,0.076657841,1
E01014831,69.66,250,0.769657041,0.076965704,1
E01006909,69.66,251,0.772735669,0.077273567,1
E01014726,69.65,252,0.775814297,0.07758143,1
E01005091,69.63,253,0.778892925,0.077889293,1
E01006750,69.61,254,0.781971553,0.078197155,1
E01013692,69.61,255,0.785050182,0.078505018,1
E01014261,69.59,256,0.78812881,0.078812881,1
E01012751,69.57,257,0.791207438,0.079120744,1
E01006645,69.57,258,0.794286066,0.079428607,1
E01017035,69.56,259,0.797364694,0.079736469,1
E01011626,69.55,260,0.800443322,0.080044332,1
E01011994,69.52,261,0.803521951,0.080352195,1
E01005088,69.5,262,0.806600579,0.080660058,1
E01008817,69.45,263,0.809679207,0.080967921,1
E01012424,69.42,264,0.812757835,0.081275784,1
E01009364,69.41,265,0.815836463,0.081583646,1
E01009979,69.36,266,0.818915091,0.081891509,1
E01004793,69.34,267,0.82199372,0.082199372,1
E01013620,69.33,268,0.825072348,0.082507235,1
E01011973,69.31,269,0.828150976,0.082815098,1
E01008166,69.31,270,0.831229604,0.08312296,1
E01005754,69.31,271,0.834308232,0.083430823,1
E01012381,69.25,272,0.83738686,0.083738686,1
E01006700,69.24,273,0.840465489,0.084046549,1
E01005099,69.2,274,0.843544117,0.084354412,1
E01012000,69.11,275,0.846622745,0.084662274,1
E01013755,69.11,276,0.849701373,0.084970137,1
E01005680,69.06,277,0.852780001,0.085278,1
E01010826,68.98,278,0.855858629,0.085585863,1
E01006648,68.96,279,0.858937258,0.085893726,1
E01006678,68.94,280,0.862015886,0.086201589,1
E01005613,68.92,281,0.865094514,0.086509451,1
E01005205,68.88,282,0.868173142,0.086817314,1
E01025493,68.86,283,0.87125177,0.087125177,1
E01010842,68.82,284,0.874330398,0.08743304,1
E01004825,68.81,285,0.877409027,0.087740903,1
E01009540,68.8,286,0.880487655,0.088048765,1
E01012265,68.72,287,0.883566283,0.088356628,1
E01006702,68.7,288,0.886644911,0.088664491,1
E01008390,68.69,289,0.889723539,0.088972354,1
E01011792,68.66,290,0.892802167,0.089280217,1
E01006611,68.66,291,0.895880796,0.08958808,1
E01012076,68.66,292,0.898959424,0.089895942,1
E01004960,68.52,293,0.902038052,0.090203805,1
E01004823,68.52,294,0.90511668,0.090511668,1
E01012851,68.52,295,0.908195308,0.090819531,1
E01005758,68.52,296,0.911273936,0.091127394,1
E01006734,68.52,297,0.914352564,0.091435256,1
E01014316,68.51,298,0.917431193,0.091743119,1
E01012643,68.49,299,0.920509821,0.092050982,1
E01011492,68.44,300,0.923588449,0.092358845,1
E01009367,68.43,301,0.926667077,0.092666708,1
E01026968,68.42,302,0.929745705,0.092974571,1
E01016868,68.39,303,0.932824333,0.093282433,1
E01010612,68.36,304,0.935902962,0.093590296,1
E01010821,68.35,305,0.93898159,0.093898159,1
E01005682,68.31,306,0.942060218,0.094206022,1
E01016947,68.23,307,0.945138846,0.094513885,1
E01025156,68.16,308,0.948217474,0.094821747,1
E01012854,68.16,309,0.951296102,0.09512961,1
E01006447,68.06,310,0.954374731,0.095437473,1
E01006662,68.05,311,0.957453359,0.095745336,1
E01005090,68.04,312,0.960531987,0.096053199,1
E01012638,68.03,313,0.963610615,0.096361062,1
E01012686,68.03,314,0.966689243,0.096668924,1
E01006455,67.98,315,0.969767871,0.096976787,1
E01024875,67.96,316,0.9728465,0.09728465,1
E01011473,67.93,317,0.975925128,0.097592513,1
E01007904,67.91,318,0.979003756,0.097900376,1
E01015155,67.9,319,0.982082384,0.098208238,1
E01007003,67.9,320,0.985161012,0.098516101,1
E01005106,67.87,321,0.98823964,0.098823964,1
E01006412,67.87,322,0.991318269,0.099131827,1
E01027874,67.86,323,0.994396897,0.09943969,1
E01011663,67.84,324,0.997475525,0.099747552,1
E01009363,67.76,325,1.000554153,0.100055415,1
E01012058,67.75,326,1.003632781,0.100363278,1
E01006507,67.74,327,1.006711409,0.100671141,1
E01006413,67.71,328,1.009790038,0.100979004,1
E01013638,67.71,329,1.012868666,0.101286867,1
E01005065,67.7,330,1.015947294,0.101594729,1
E01020982,67.7,331,1.019025922,0.101902592,1
E01013754,67.7,332,1.02210455,0.102210455,1
E01006443,67.67,333,1.025183178,0.102518318,1
E01008097,67.66,334,1.028261807,0.102826181,1
E01005097,67.66,335,1.031340435,0.103134043,1
E01014653,67.62,336,1.034419063,0.103441906,1
E01010650,67.61,337,1.037497691,0.103749769,1
E01012059,67.59,338,1.040576319,0.104057632,1
E01024660,67.58,339,1.043654947,0.104365495,1
E01009124,67.43,340,1.046733576,0.104673358,1
E01009401,67.42,341,1.049812204,0.10498122,1
E01009368,67.42,342,1.052890832,0.105289083,1
E01005198,67.39,343,1.05596946,0.105596946,1
E01013278,67.38,344,1.059048088,0.105904809,1
E01006691,67.37,345,1.062126716,0.106212672,1
E01010777,67.35,346,1.065205344,0.106520534,1
E01008666,67.33,347,1.068283973,0.106828397,1
E01011624,67.32,348,1.071362601,0.10713626,1
E01006757,67.32,349,1.074441229,0.107444123,1
E01032471,67.29,350,1.077519857,0.107751986,1
E01013640,67.25,351,1.080598485,0.108059849,1
E01007009,67.22,352,1.083677113,0.108367711,1
E01017037,67.18,353,1.086755742,0.108675574,1
E01018351,67.18,354,1.08983437,0.108983437,1
E01006963,67.16,355,1.092912998,0.1092913,1
E01007126,67.13,356,1.095991626,0.109599163,1
E01008017,67.13,357,1.099070254,0.109907025,1
E01008439,67.12,358,1.102148882,0.110214888,1
E01024855,67.1,359,1.105227511,0.110522751,1
E01005665,67.08,360,1.108306139,0.110830614,1
E01006547,67.04,361,1.111384767,0.111138477,1
E01009491,67.03,362,1.114463395,0.11144634,1
E01006769,67,363,1.117542023,0.111754202,1
E01006556,67,364,1.120620651,0.112062065,1
E01004841,66.95,365,1.12369928,0.112369928,1
E01024895,66.95,366,1.126777908,0.112677791,1
E01011622,66.91,367,1.129856536,0.112985654,1
E01005087,66.88,368,1.132935164,0.113293516,1
E01006766,66.87,369,1.136013792,0.113601379,1
E01012444,66.87,370,1.13909242,0.113909242,1
E01012877,66.84,371,1.142171049,0.114217105,1
E01006416,66.84,372,1.145249677,0.114524968,1
E01026383,66.83,373,1.148328305,0.11483283,1
E01008121,66.83,374,1.151406933,0.115140693,1
E01026626,66.82,375,1.154485561,0.115448556,1
E01012856,66.82,376,1.157564189,0.115756419,1
E01011956,66.82,377,1.160642818,0.116064282,1
E01014689,66.81,378,1.163721446,0.116372145,1
E01007123,66.8,379,1.166800074,0.116680007,1
E01006612,66.78,380,1.169878702,0.11698787,1
E01006692,66.76,381,1.17295733,0.117295733,1
E01009073,66.75,382,1.176035958,0.117603596,1
E01016942,66.74,383,1.179114587,0.117911459,1
E01012880,66.72,384,1.182193215,0.118219321,1
E01005458,66.68,385,1.185271843,0.118527184,1
E01005108,66.66,386,1.188350471,0.118835047,1
E01009638,66.63,387,1.191429099,0.11914291,1
E01006248,66.59,388,1.194507727,0.119450773,1
E01027806,66.55,389,1.197586356,0.119758636,1
E01011094,66.51,390,1.200664984,0.120066498,1
E01006661,66.47,391,1.203743612,0.120374361,1
E01012089,66.45,392,1.20682224,0.120682224,1
E01010276,66.42,393,1.209900868,0.120990087,1
E01005353,66.41,394,1.212979496,0.12129795,1
E01006638,66.38,395,1.216058124,0.121605812,1
E01014222,66.36,396,1.219136753,0.121913675,1
E01005664,66.32,397,1.222215381,0.122221538,1
E01011371,66.32,398,1.225294009,0.122529401,1
E01005667,66.32,399,1.228372637,0.122837264,1
E01027416,66.29,400,1.231451265,0.123145127,1
E01006739,66.25,401,1.234529893,0.123452989,1
E01014585,66.24,402,1.237608522,0.123760852,1
E01005753,66.22,403,1.24068715,0.124068715,1
E01004848,66.22,404,1.243765778,0.124376578,1
E01004309,66.21,405,1.246844406,0.124684441,1
E01006386,66.14,406,1.249923034,0.124992303,1
E01005197,66.1,407,1.253001662,0.125300166,1
E01008018,66.09,408,1.256080291,0.125608029,1
E01006027,66.08,409,1.259158919,0.125915892,1
E01005662,66.08,410,1.262237547,0.126223755,1
E01006357,66.07,411,1.265316175,0.126531618,1
E01009004,66.06,412,1.268394803,0.12683948,1
E01020747,66.06,413,1.271473431,0.127147343,1
E01009577,66.04,414,1.27455206,0.127455206,1
E01012889,66.03,415,1.277630688,0.127763069,1
E01025036,65.99,416,1.280709316,0.128070932,1
E01008995,65.97,417,1.283787944,0.128378794,1
